Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Fitness
0,0,0,0,3,3,3,3,0,0,3,0,0,0,3,3,63
0,0,0,3,3,0,0,3,0,3,0,0,3,0,3,3,63
0,0,0,0,3,3,0,0,3,3,3,0,3,0,3,0,63
3,0,3,0,3,0,0,3,3,3,0,0,3,0,0,0,63
3,0,0,0,0,3,3,0,0,0,3,3,0,3,3,0,63
3,3,0,3,3,3,0,0,0,3,0,0,3,3,0,0,72
3,0,3,3,3,0,0,0,0,0,0,3,3,0,0,3,63
3,0,0,3,0,3,0,0,0,3,0,0,3,3,0,3,63
3,0,3,3,3,0,3,0,0,3,3,0,0,3,3,3,90
3,3,3,3,0,3,0,0,3,0,0,0,0,0,3,0,63
-259.501,-163.686,-920.396,-275.464,-989.946,-551.44,542.539,909.565,511.998,-328.901,-21.4038,-329.758,-656.404,-673.819,-74.8524,767.125,5.38157e+06
909.557,221.702,197.95,580.903,0.0538498,-920.842,407.753,1008.43,-476.646,366.778,746.048,513.729,951.275,111.089,-589.024,-568.436,6.05391e+06
-576.001,142.487,-98.0807,963.045,369.756,-849.315,-908.455,-24.9084,780.297,975.676,240.963,87.0375,726.249,499.373,-43.8347,362.663,5.50997e+06
219.228,439.699,-62.4698,-90.0821,832.344,-742.973,-554.559,781.487,828.262,298.567,-359.049,40.3685,-1023.89,-385.31,-152.675,789.172,5.16527e+06
368.393,-89.8462,-33.9792,591.338,-554.103,778.849,-381.558,936.859,-57.8528,433.324,-709.234,471.946,299.55,-583.924,-642.134,629.924,4.58837e+06
506.019,358.087,-456.922,-665.787,418.763,-75.4684,697.198,-604.435,-686.164,-768.342,454.821,-961.632,505.844,-834.363,-578.661,510.473,5.80922e+06
474.509,-930.581,-595.646,-436.398,363.035,-894.898,113.97,-1005.08,682.062,991.907,416.757,-652.019,25.3818,164.756,588.886,218.062,6.06233e+06
-576.711,-91.8143,775.925,-15.8346,441.469,-28.3452,427.107,-3.80881,705.639,-625.987,559.772,971.282,742.01,574.314,993.346,519.311,5.60497e+06
-1015.71,-472.106,-183.312,-146.998,-414.02,-202.481,-776.894,984.473,-192.265,141.744,-320.296,591.611,-181.509,-288.212,-205.826,-405.85,3.92783e+06
563.65,872.884,-357.764,927.479,-995.434,68.5377,-400.216,784.097,-510.725,363.339,635.749,-138.961,516.371,675.025,-247.739,-826.266,6.12131e+06
-499.426,188.283,-48.1747,-24.71,-84.9622,50.3657,-118.753,722.196,-136.317,669.431,19.1326,-847.1,327.762,-600.894,711.22,371.424,3.13035e+06
-658.704,-880.929,-1004.16,802.918,-750.663,571.785,870.735,440.686,-18.8035,-62.4675,783.789,-23.7362,-174.966,-667.419,-50.6072,580.911,6.14113e+06
115.567,-696.592,-729.437,306.1,80.3299,-356.998,-722.916,-696.586,-758.964,161.633,-835.051,840.796,-854.074,615.175,772.364,-832.595,6.67031e+06
-150.926,-54.8441,164.244,442.868,-968.563,473.902,546.741,-1004,-392.63,-547.092,7.01937,929.221,118.398,-824.384,249.198,743.47,5.34411e+06
-701.169,1008.5,-849.918,-830.55,273.629,920.161,894.457,-107.769,466.322,496.103,-395.293,-778.708,-114.936,-221.646,65.2271,707.293,6.44736e+06
74.2903,369.193,223.596,-822.317,-835.528,-909.382,-846.781,-538.269,695.323,45.8149,26.7773,306.856,91.3221,-957.511,164.151,555.19,5.24086e+06
-253.488,-18.3813,986.398,-522.954,-257.386,-930.489,-388.981,678.952,628.783,286.769,-270.126,-383.481,618.16,-879.724,375.957,-244.267,4.91023e+06
274.291,874.248,724.869,-4.7555,-147.795,660.602,487.888,-108.249,960.313,-280.246,-209.851,488.822,-104.277,895.558,-497.186,-242.156,4.4756e+06
403.746,813.2,-776.069,-529.314,-556.516,-21.4849,801.838,-290.596,-235.034,853.457,-790.904,268.545,-751.995,-257.547,-359.619,368.877,5.123e+06
605.255,8.05603,-417.296,790.451,-303.369,488.223,113.38,-611.292,99.3671,40.2285,-309.693,-973.578,-719.198,-753.967,425.815,428.18,4.38807e+06
228.861,352.066,-107.488,401.566,-249.188,-819.134,942.606,-875.654,-984.472,982.166,-719.917,-494.178,-582.597,163.661,974.339,-464.878,6.96564e+06
962.714,-971.781,794.714,427.231,-455.12,808.68,-969.682,257.304,-349.097,956.664,-678.756,822.237,-348.292,797.15,25.501,21.768,7.48476e+06
-231.778,61.6221,910.761,804.582,362.73,284.728,99.044,-465.545,-720.346,729.708,276.596,-410.33,-81.47,-973.768,118.917,-284.362,4.31986e+06
5.54915,-709.371,-152.56,831.84,-1006.57,960.234,390.95,-820.395,-430.539,80.0226,459.055,-227.599,-558.932,-92.447,966.825,683.66,6.15717e+06
849.491,342.599,-121.516,379.068,304.329,-964.403,859.2,86.9519,1005.86,-239.405,628.059,-79.858,669.336,80.1141,793.118,778.459,5.92547e+06
