Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Fitness
3,3,3,3,3,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,3,0,0,0,3,3,135
3,0,3,3,0,0,0,0,3,0,0,3,3,0,3,3,3,0,0,3,3,0,0,3,3,3,3,0,3,3,0,3,162
0,3,0,0,3,3,3,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,0,3,0,117
0,3,3,0,3,3,0,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,0,3,0,3,0,0,0,0,3,3,162
3,3,0,0,3,0,0,3,3,0,0,0,0,3,3,0,3,3,3,3,3,3,0,0,0,3,0,3,3,0,0,0,144
0,3,3,0,0,0,0,0,3,3,0,3,3,0,3,0,0,3,0,3,3,3,3,0,3,0,3,0,3,3,3,3,162
3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,3,3,3,3,3,0,3,3,0,0,0,117
0,0,0,0,3,0,0,0,3,3,3,3,3,0,0,0,3,0,0,0,0,3,0,3,3,3,0,3,3,0,0,0,117
3,0,0,3,0,3,3,0,0,3,3,0,3,0,0,0,3,3,0,3,3,0,0,0,0,0,0,3,0,0,3,0,117
0,0,3,3,3,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,3,0,126
-499.426,188.283,-48.1747,-24.71,-84.9622,50.3657,-118.753,722.196,-136.317,669.431,19.1326,-847.1,327.762,-600.894,711.22,371.424,-658.704,-880.929,-1004.16,802.918,-750.663,571.785,870.735,440.686,-18.8035,-62.4675,783.789,-23.7362,-174.966,-667.419,-50.6072,580.911,9.27148e+06
115.567,-696.592,-729.437,306.1,80.3299,-356.998,-722.916,-696.586,-758.964,161.633,-835.051,840.796,-854.074,615.175,772.364,-832.595,-150.926,-54.8441,164.244,442.868,-968.563,473.902,546.741,-1004,-392.63,-547.092,7.01937,929.221,118.398,-824.384,249.198,743.47,1.20144e+07
-701.169,1008.5,-849.918,-830.55,273.629,920.161,894.457,-107.769,466.322,496.103,-395.293,-778.708,-114.936,-221.646,65.2271,707.293,74.2903,369.193,223.596,-822.317,-835.528,-909.382,-846.781,-538.269,695.323,45.8149,26.7773,306.856,91.3221,-957.511,164.151,555.19,1.16882e+07
-253.488,-18.3813,986.398,-522.954,-257.386,-930.489,-388.981,678.952,628.783,286.769,-270.126,-383.481,618.16,-879.724,375.957,-244.267,274.291,874.248,724.869,-4.7555,-147.795,660.602,487.888,-108.249,960.313,-280.246,-209.851,488.822,-104.277,895.558,-497.186,-242.156,9.38583e+06
403.746,813.2,-776.069,-529.314,-556.516,-21.4849,801.838,-290.596,-235.034,853.457,-790.904,268.545,-751.995,-257.547,-359.619,368.877,605.255,8.05603,-417.296,790.451,-303.369,488.223,113.38,-611.292,99.3671,40.2285,-309.693,-973.578,-719.198,-753.967,425.815,428.18,9.51107e+06
228.861,352.066,-107.488,401.566,-249.188,-819.134,942.606,-875.654,-984.472,982.166,-719.917,-494.178,-582.597,163.661,974.339,-464.878,962.714,-971.781,794.714,427.231,-455.12,808.68,-969.682,257.304,-349.097,956.664,-678.756,822.237,-348.292,797.15,25.501,21.768,1.44504e+07
-231.778,61.6221,910.761,804.582,362.73,284.728,99.044,-465.545,-720.346,729.708,276.596,-410.33,-81.47,-973.768,118.917,-284.362,5.54915,-709.371,-152.56,831.84,-1006.57,960.234,390.95,-820.395,-430.539,80.0226,459.055,-227.599,-558.932,-92.447,966.825,683.66,1.0477e+07
849.491,342.599,-121.516,379.068,304.329,-964.403,859.2,86.9519,1005.86,-239.405,628.059,-79.858,669.336,80.1141,793.118,778.459,-351.635,-195.738,91.4378,249.227,-247.079,86.2811,-776.357,370.068,-435.98,-935.984,-786.231,-806.033,-375.833,-519.097,128.58,832.213,1.042e+07
164.059,200.574,-536.487,165.657,-725.258,-336.628,257.081,-284.046,841.716,775.153,-134.849,36.0696,-51.88,-646.425,-133.61,-639.894,440.746,47.1171,-367.482,-1017.65,199.276,305.312,-1013.37,963.014,335.598,-423.64,-613.654,871.838,-390.653,-198.209,272.511,800.057,9.13494e+06
-138.022,876.992,188.581,-139.704,190.014,-297.972,321.577,311.929,658.88,-199.134,-947.067,992.526,-106.203,896.277,352.34,-477.805,131.204,935.799,-791.581,-466.474,-855.946,543.274,-979.581,-742.909,-490.232,759.977,-656.568,-136.645,-358.159,170.812,893.887,902.721,1.20074e+07
-916.463,197.04,802.408,575.347,-590.779,542.709,-636.8,816.66,-1005.71,-839.203,244.086,-240.763,-826.239,993.143,812.198,-468.76,-54.9068,-41.4641,17.1835,956.947,-819.285,-942.796,-33.3692,-85.4855,-542.182,-903.434,-770.367,730.635,-205.481,-242.899,-978.998,-256.506,1.38038e+07
330.972,256.734,847.854,351.835,-360.279,-376.381,682.631,564.845,-448.199,438.123,126.11,-205.496,63.2015,-849.443,339.308,-963.308,797.26,372.98,801.412,-1021.53,895.424,938.613,606.862,1007.77,-296.499,713.401,554.341,451.64,273.234,-394.494,76.3475,-461.67,1.13791e+07
-1006.2,-972.913,-728.502,28.1799,-567.997,-267.285,-911.14,842.132,788.381,813.623,-343.673,436.074,-149.62,-406.134,-879.799,-160.062,-228.721,-695.514,-306.776,-828.17,760.018,343.231,-629.314,856.252,163.186,-90.32,291.536,-503.756,104.61,-753.862,-613.343,28.7836,1.14735e+07
-824.334,720.596,-213.926,-546.657,174.965,505.521,223.209,161.815,-675.636,381.669,976.49,222.399,-351.48,619.913,688.874,-173.507,-172.834,894.192,455.033,-956.618,-151.663,-831.704,980.065,154.035,294.253,-277.58,343.48,147.136,562.552,819.409,-195.98,809.667,1.01593e+07
-890.711,379.858,-550.769,79.6027,559.176,505.005,453.489,-35.038,-626.641,-603,72.639,-127.356,972.779,-407.913,-862.27,464.646,973.669,577.719,-518.051,-949.123,-190.624,773.634,-139.277,-442.192,891.498,557.6,227.3,-1018.52,883.722,356.019,-564.292,-973.306,1.25411e+07
-1008.7,875.32,395.577,420.142,196.741,76.2586,-90.9751,205.196,315.56,-260.015,344.543,-88.3002,-849.783,-546.46,-857.351,-364.508,227.999,-271.102,463.313,364.666,-727.673,-679.849,-892.036,-482.647,-310.565,-843.268,209.365,439.042,-702.009,-323.302,465.408,334.475,8.85775e+06
725.934,111.828,-971.251,-906.607,-860.035,35.0971,522.457,-957.904,-88.7038,665.186,345.305,94.0392,181.886,811.991,153.759,-160.114,415.645,-292.439,968.523,762.476,-703.174,377.089,-954.223,788.905,706.26,20.7422,-762.494,248.777,-533.838,268.024,396.791,-806.39,1.18109e+07
-47.2148,175.295,-504.575,-612.331,282.329,534.003,-288.541,427.822,178.945,634.047,-606.06,607.021,-478.397,-413.154,979.297,-929.764,-635.385,42.7516,-253.964,-528.18,377.964,346.597,949.742,775.374,1018.75,-280.805,-931.36,-357.792,-6.3186,-671.343,-849.764,-96.8113,1.04964e+07
886.099,538.962,-386.077,795.885,404.018,-75.0714,-482.059,154.693,-624.843,494.042,894.828,326.181,460.788,-687.128,508.363,-5.4132,-845.04,-232.556,469.91,160.175,-396.528,1000.96,151.617,911.256,122.418,132.437,-919.203,-810.847,234.369,474.386,-524.222,950.222,1.07879e+07
